Full_Name,Age,Marital_Status,Employment_Status,Income_AMD,Education_Level,Loan_Amount_AMD,Loan_Purpose,Collateral,FICO_Score,Debt_to_Income_Ratio,Num_Open_Credit_Lines,Previous_Defaults,Loan_Term,Interest_Rate,Employment_Duration_Years,Alternative_Income_AMD,Creditworthiness
Ruben Vardanyan,56,Widowed,Employed,2290000,Master's,4000000,Mortgage loan,Yes,433,0.18,3,4,24,9.21,0,1750000,Low
Suren Sargsyan,69,Single,Employed,910000,High School,4700000,Agricultural loan,No,358,0.47,3,4,12,15.6,48,800000,Low
Hasmik Avetisyan,46,Widowed,Self-Employed,250000,Bachelor's,2850000,Leasing finance,No,389,0.42,1,3,36,12.51,7,500000,Low
Meline Vardanyan,32,Married,Employed,1930000,Master's,2350000,Loan granted to financial institutions,Yes,369,0.26,1,0,24,18.15,1,4500000,Very Low
Hasmik Ghazaryan,60,Divorced,Self-Employed,1750000,Master's,1800000,Agricultural loan,No,484,0.42,2,3,24,15.6,40,4950000,Low
Arpi Gevorgyan,25,Widowed,Employed,1890000,High School,200000,Loan granted to individuals,Yes,737,0.49,1,2,60,16.79,1,800000,Medium
Armine Vardanyan,38,Married,Employed,1610000,PhD,3750000,Mortgage loan,Yes,773,0.21,3,0,24,10.26,3,250000,High
Vahagn Mkrtchyan,56,Married,Employed,1310000,Bachelor's,1200000,Mortgage loan,Yes,467,0.39,1,0,36,11.92,38,1600000,Very Low
Gor Hovhannisyan,36,Single,Employed,190000,High School,4100000,Loan granted to individuals,No,423,0.51,2,2,60,19.96,10,2300000,Low
Hasmik Gevorgyan,40,Married,Self-Employed,630000,High School,4550000,Leasing finance,No,512,0.31,4,2,12,13.77,7,1000000,Very Low
Arman Sargsyan,28,Divorced,Self-Employed,1810000,Master's,3100000,Consumer loan,No,481,0.39,4,4,48,12.95,2,1500000,Low
Ruzanna Ghazaryan,28,Widowed,Employed,2610000,High School,100000,Consumer loan,No,370,0.14,1,0,36,18.61,0,1000000,Very Low
Ashot Hakobyan,41,Single,Employed,1390000,High School,750000,Loan granted to financial institutions,Yes,494,0.52,4,1,60,9.36,3,3850000,Low
Samvel Hakobyan,53,Single,Self-Employed,1130000,Bachelor's,3750000,Mortgage loan,No,591,0.5,3,4,60,14.88,15,3550000,Low
Karine Avagyan,57,Single,Unemployed,0,Master's,4550000,Leasing finance,Yes,356,0.33,4,0,36,11.31,34,3150000,Very Low
Karen Poghosyan,41,Divorced,Employed,2850000,High School,2450000,Loan granted to individuals,No,599,0.16,4,2,24,13.05,19,1900000,Low
Karen Gevorgyan,20,Married,Employed,2530000,Bachelor's,4350000,Agricultural loan,Yes,617,0.43,3,2,36,11.2,1,4500000,Low
Armine Avagyan,39,Divorced,Self-Employed,2150000,Bachelor's,1750000,Mortgage loan,No,670,0.39,2,1,60,9.42,15,4800000,Medium
Trdat Gevorgyan,19,Divorced,Self-Employed,970000,Bachelor's,4700000,Agricultural loan,Yes,382,0.56,4,0,24,13.58,0,850000,Low
Arsen Hakobyan,41,Divorced,Employed,1390000,Master's,2350000,Loan granted to individuals,Yes,393,0.24,4,3,60,17.68,12,1100000,Low
Vahagn Ghazaryan,61,Married,Employed,2230000,High School,1200000,Mortgage loan,Yes,566,0.12,4,4,60,19.47,27,2600000,Low
Areg Avagyan,47,Divorced,Self-Employed,1310000,High School,4150000,Consumer loan,No,675,0.23,2,0,24,15.86,11,450000,Medium
Gagik Nazaryan,55,Married,Unemployed,0,Master's,3000000,Loan granted to financial institutions,Yes,460,0.31,1,3,48,13.28,15,2150000,Low
Aram Karapetyan,19,Married,Employed,2030000,Bachelor's,4650000,Consumer loan,Yes,801,0.18,1,2,12,17.47,1,2900000,Very High
Ruben Karapetyan,38,Widowed,Employed,1930000,High School,3850000,Consumer loan,Yes,676,0.59,2,2,36,14.56,1,2600000,Low
Ruben Petrosyan,50,Divorced,Self-Employed,1890000,Bachelor's,2400000,Loan granted to individuals,Yes,411,0.21,3,3,36,13.04,25,1650000,Low
Arman Petrosyan,29,Married,Employed,1150000,PhD,1150000,Leasing finance,No,578,0.44,1,3,36,10.97,9,2700000,Low
Ara Avagyan,39,Married,Employed,2790000,Master's,600000,Commercial and industrial loan,Yes,732,0.33,2,1,36,17.76,2,4750000,Medium
Armine Nazaryan,61,Married,Employed,1170000,Master's,2050000,Mortgage loan,No,541,0.38,2,0,36,14.5,43,1000000,Very Low
Karen Poghosyan,42,Single,Employed,2930000,PhD,1450000,Agricultural loan,Yes,521,0.57,3,2,48,19.6,20,3250000,Low
Ani Sargsyan,66,Married,Employed,2170000,PhD,3500000,Loan granted to individuals,No,585,0.37,2,4,48,17.82,31,200000,Low
Gayane Harutyunyan,44,Married,Employed,2530000,Master's,2550000,Commercial and industrial loan,Yes,303,0.25,1,2,60,13.62,24,300000,Very Low
Hovhannes Melkonyan,59,Single,Unemployed,0,Master's,1150000,Loan granted to individuals,Yes,619,0.21,1,0,48,17.15,5,2750000,Low
Hasmik Avagyan,45,Divorced,Employed,1170000,Bachelor's,1550000,Loan granted to individuals,Yes,620,0.55,2,3,48,13.99,4,500000,Low
Ani Hovhannisyan,33,Divorced,Employed,2290000,Bachelor's,1050000,Loan granted to individuals,Yes,307,0.59,2,1,36,9.88,7,100000,Low
Vardan Markosyan,32,Divorced,Employed,1650000,Master's,1200000,Loan granted to individuals,Yes,351,0.23,3,2,24,14.68,14,850000,Very Low
Lilit Mkrtchyan,64,Married,Self-Employed,2750000,PhD,3600000,Loan granted to individuals,Yes,441,0.46,3,1,12,18.52,0,2800000,Very Low
Sona Poghosyan,68,Widowed,Self-Employed,1710000,Bachelor's,450000,Loan granted to individuals,Yes,579,0.35,4,3,36,18.41,22,3500000,Low
Karen Gevorgyan,61,Widowed,Employed,2030000,Master's,1100000,Consumer loan,No,387,0.45,2,0,48,15.32,15,1000000,Very Low
Edgar Ghazaryan,69,Widowed,Self-Employed,2510000,Bachelor's,200000,Commercial and industrial loan,No,459,0.58,4,2,48,13.18,7,3300000,Low
Vardan Harutyunyan,20,Widowed,Unemployed,0,Bachelor's,3850000,Leasing finance,No,327,0.24,4,0,60,9.11,0,900000,Very Low
Ruzanna Avagyan,54,Widowed,Self-Employed,1830000,Bachelor's,4900000,Commercial and industrial loan,No,827,0.47,4,4,36,12.43,24,3050000,Low
Ruzanna Karapetyan,68,Divorced,Employed,2510000,Master's,150000,Commercial and industrial loan,Yes,571,0.32,4,0,48,19.89,45,2050000,Very Low
Narine Mkrtchyan,24,Married,Unemployed,0,Bachelor's,1400000,Commercial and industrial loan,Yes,399,0.43,1,3,60,16.99,2,3250000,Low
Mari Mkrtchyan,38,Divorced,Employed,370000,Master's,4500000,Loan granted to financial institutions,Yes,503,0.3,3,3,36,16.89,11,4950000,Low
Arman Nazaryan,26,Divorced,Employed,1090000,PhD,4900000,Consumer loan,No,489,0.45,2,4,36,17.37,7,4650000,Low
Elina Vardanyan,56,Divorced,Self-Employed,2150000,PhD,750000,Loan granted to financial institutions,No,845,0.27,3,0,60,15.82,9,0,Very High
Aram Melkonyan,35,Divorced,Employed,1610000,Bachelor's,400000,Agricultural loan,Yes,593,0.34,3,3,36,15.44,2,4400000,Low
Arpi Ghazaryan,21,Married,Employed,710000,PhD,2400000,Loan granted to financial institutions,Yes,643,0.45,3,3,48,13.99,1,300000,Low
Arman Avagyan,42,Single,Employed,310000,Bachelor's,4950000,Loan granted to financial institutions,Yes,352,0.12,3,3,60,13.88,20,4750000,Low
Areg Mkrtchyan,31,Widowed,Self-Employed,770000,Bachelor's,4400000,Leasing finance,Yes,346,0.26,3,3,36,18.58,2,1400000,Low
